607	28	251
661	27	510
23	10	381
167	16	562
699	18	37
516	19	403
592	0	134
698	20	230
500	18	594
239	2	668
699	18	63
247	4	423
240	27	551
605	13	570
61	15	422
8	4	596
531	4	192
139	37	4
528	14	441
59	15	659
615	25	698
497	38	240
610	18	49
438	16	519
55	0	585
245	26	417
65	8	611
454	26	35
195	1	290
367	7	681
32	16	604
329	15	248
293	26	277
99	22	416
373	33	523
656	27	248
111	6	334
566	15	219
412	13	633
636	17	440
160	12	584
25	7	445
599	26	417
302	33	285
125	29	224
698	24	488
518	10	154
412	14	505
629	6	537
275	20	78
696	19	435
663	0	29
339	3	557
387	23	688
498	19	424
547	2	419
215	4	547
564	25	288
294	33	386
405	38	245
696	22	539
191	25	141
566	18	434
471	30	665
361	2	568
400	24	344
501	12	561
413	28	373
99	14	222
343	12	486
153	35	212
647	8	507
393	11	264
319	32	22
464	5	667
337	9	132
319	24	632
178	15	9
577	16	690
366	13	663
570	31	69
359	15	379
513	4	190
481	12	463
128	8	246
349	18	127
692	11	605
585	10	437
470	36	83
642	38	20
682	3	424
118	10	376
534	13	134
502	22	679
392	17	395
627	9	559
609	4	376
336	10	125
21	4	656
584	35	559
123	29	626
523	22	210
197	13	7
158	28	306
469	17	239
204	12	243
16	24	530
204	15	560
373	30	192
287	33	55
324	15	319
375	2	400
194	26	459
282	38	241
296	36	429
531	35	620
680	2	471
346	28	136
333	6	604
485	12	100
146	10	64
68	14	58
620	13	169
618	17	2
24	1	161
452	32	330
662	14	390
82	28	636
237	14	281
468	2	631
414	8	356
465	15	427
662	23	499
62	32	379
410	21	660
246	14	326
533	36	86
627	5	525
194	25	559
334	12	18
202	16	100
236	4	585
267	21	140
455	7	44
323	27	294
170	22	509
278	9	131
677	34	144
568	7	207
677	2	487
89	11	414
148	3	153
172	33	434
134	37	202
441	23	66
661	35	238
52	29	147
194	32	51
529	20	340
469	39	219
320	36	425
52	33	129
612	32	218
233	15	1
208	4	350
580	2	222
103	40	391
376	12	437
618	31	455
548	16	139
618	18	134
0	32	406
435	9	510
619	6	544
428	13	447
171	8	40
131	30	323
129	22	370
3	0	47
104	22	498
216	8	406
395	35	177
673	10	384
371	4	62
459	10	484
581	16	110
306	35	325
399	3	426
30	12	363
224	32	135
353	21	364
48	0	378
208	1	699
191	10	264
40	30	38
17	3	4
127	18	175
168	19	411
111	4	573
302	18	277
433	24	404
514	18	80
40	20	270
631	10	298
274	4	91
381	25	564
18	28	69
416	6	688
144	8	363
230	1	514
466	20	215
566	13	146
63	16	223
98	38	319
194	22	238
437	6	31
325	0	574
430	32	329
202	18	196
332	38	434
346	13	99
562	40	64
336	5	696
138	6	447
443	38	654
435	30	17
251	3	524
467	22	560
212	36	370
683	29	554
195	9	154
370	39	592
622	32	28
381	31	584
444	18	578
153	15	160
654	29	618
370	22	471
287	23	252
93	15	551
555	13	143
202	35	358
481	15	674
602	22	29
76	14	493
553	3	261
672	12	197
170	7	358
238	27	590
156	20	577
153	27	98
290	24	323
538	37	381
449	35	23
94	24	472
37	6	507
208	14	34
169	31	203
494	7	348
276	4	226
180	36	386
660	4	606
302	32	534
585	25	264
451	32	351
296	4	557
646	6	301
578	29	7
162	16	180
309	34	115
312	6	550
416	13	403
504	29	422
287	30	254
262	6	46
652	36	146
189	32	386
261	23	167
266	32	499
145	1	214
180	21	288
378	17	597
255	24	290
111	20	136
576	16	617
587	22	654
160	13	341
144	5	164
42	13	487
262	36	18
210	37	686
184	33	78
33	30	177
540	15	298
638	18	306
136	25	107
341	28	642
171	6	119
601	24	168
563	6	100
437	5	651
60	24	416
335	14	666
120	19	125
308	33	40
346	20	609
575	3	316
697	36	277
189	38	524
468	30	220
127	16	390
537	33	275
238	34	94
315	23	100
243	6	404
415	20	216
684	9	348
292	15	73
103	2	169
511	37	40
353	7	689
77	7	641
442	37	62
403	12	395
186	15	105
174	27	473
59	21	421
402	14	305
659	8	363
94	40	179
504	32	324
362	0	31
218	34	405
625	14	380
493	38	672
478	22	493
324	10	233
244	36	285
553	17	326
303	13	547
202	35	153
56	5	536
485	12	630
327	7	499
485	3	559
82	28	615
371	30	457
548	22	173
607	0	648
353	35	678
40	39	661
549	28	558
683	3	587
213	34	404
443	39	361
682	15	144
375	2	106
